text,intent,is_noise,is_hard,language
gợi ý món ngon cho ngày nóng Trà Đào Cam Sả mát,consultant,False,False,vi
gọi ba ly Matcha Latte nhiều đá vậy,order,False,True,vi
cho anh 2 ly Americano M,order,False,False,en
có món gì cho người ăn kiêng không Croissant đá,consultant,False,False,vi
"anh thích trà hoa quả, recommend gì Freeze Bạc Xỉu mát",consultant,False,False,vi
gọi 2 ly Cà Phê Sữa Nóng ít đá vậy,order,False,True,vi
what's your best seller today Cà Phê Đen Nóng đá,consultant,False,False,vi
lấy cho 1 ly Trà Đào Cam Sả S???,order,False,True,vi
recommend something refreshing please Cà Phê Muối đá,consultant,False,False,vi
cheers.,ignore,True,False,en
có đồ uống healthy không Freeze Chanh Tuyết ít ngọt,consultant,False,False,vi
cho em hỏi có thanh toán qr không ạ,faq,False,False,vi
em gọi một Freeze Sữa Chua Dâu S nha,order,False,False,vi
bye...,ignore,True,False,en
anh không uống caffeine thì nên chọn gì Bánh Quy Bơ đá,consultant,False,False,vi
tư vấn cho em món mát mát Muffin Chocolate ít ngọt,consultant,False,False,vi
cho em hỏi có nhận đặt qua điện thoại không?,faq,False,False,vi
hỏi chút what is the wifi name?,faq,False,False,vi
what do you recommend Matcha Latte không caffeine,consultant,False,False,vi
mang ra một Bánh Mì Que S nhé,order,False,False,vi
what's good for hot weather,consultant,False,False,en
cho hỏi có đặt bàn trước không không,faq,False,False,vi
is there a kid's menu vậy,faq,False,False,vi
what's good here Phin Đen Đá mát,consultant,False,False,vi
cho em hỏi có món cho trẻ em không nào,faq,False,False,vi
cho mình hỏi what time do you close vậy,faq,False,False,vi
recommend something under 50000 Americano ít ngọt,consultant,False,False,vi
order 1 Vietnamese Latte L,order,False,False,en
recommend something refreshing please Trà Lài Mật Ong không caffeine,consultant,False,False,vi
yo ạ,ignore,True,False,vi
cho mình hỏi quán mấy giờ mở cửa nhỉ,faq,False,True,vi
cho mình hỏi is there a private room ạ,faq,False,False,vi
cho hỏi có nhận đặt tiệc không ạ,faq,False,False,vi
cho em 1 Cà Phê Sữa Nóng L em,order,False,False,vi
món gì cho người không uống cà phê Cà Phê Muối không caffeine,consultant,False,False,vi
suggest a drink for someone who hates coffee Freeze Matcha Đậu Đỏ không caffeine,consultant,False,False,vi
em lấy một Bánh Mặn Phô Mai M,order,False,False,vi
cho em hỏi quán có nhận thẻ membership không ạ,faq,False,False,vi
gọi 3 ly Latte size M,order,False,False,vi
cho mình hỏi có giao hàng không vậy,faq,False,False,vi
cho em hỏi quán có nhận đặt số lượng lớn không vậy,faq,False,False,vi
bye ạ,ignore,True,False,vi
cho hỏi quán có nhận đặt số lượng lớn không ạ,faq,False,False,vi
cho mình hỏi có giới hạn thời gian ngồi không nào,faq,False,False,vi
món nào thay thế được cà phê Trà Đào Cam Sả mát,consultant,False,False,vi
get me một Cà Phê Đen Nóng S,order,False,False,vi
cho mình hỏi có giới hạn thời gian ngồi không vậy,faq,False,False,vi
I'd like to order một Freeze Sữa Chua Dâu,order,False,False,vi
gọi cho em hai Freeze Sữa Chua Việt Quất M,order,False,False,vi
đặt 2 ly Caramel Macchiato L nha,order,False,False,vi
can I have 2 Phin Sữa Đá L,order,False,False,vi
mình order ba Donut Chocolate lạnh,order,False,False,vi
cho em hỏi what's your return policy ạ,faq,False,False,vi
cho em hỏi quán mở cửa thứ mấy vậy,faq,False,False,vi
tư vấn cho em món ngon giá rẻ Trà Việt Quất đá,consultant,False,False,vi
good morning...,ignore,True,False,en
I want một Flat White,order,False,False,vi
gọi ba ly Trà Việt Quất size M,order,False,False,vi
cho anh ba ly Cà Phê Đen Nóng L,order,False,False,vi
có phòng họp không không,faq,False,False,vi
I'd like 1 Flat White M please,order,False,False,en
có món nào nhẹ nhẹ không Bánh Chuối đá,consultant,False,False,vi
em lấy hai Bạc Xỉu L,order,False,False,vi
gợi ý đồ uống không đường Trà Chanh Mật Ong ít ngọt,consultant,False,False,vi
gọi 3 ly Bánh Mì Que size L,order,False,False,vi
hỏi chút có giao hàng không vậy,faq,False,False,vi
cho mình hỏi mấy giờ đóng cửa không,faq,False,False,vi
có món nào nhẹ nhẹ không Espresso không caffeine vậy,consultant,False,True,vi
gọi hai ly Freeze Xoài nhiều đá,order,False,False,vi
cho em hỏi is there a kid's menu vậy,faq,False,False,vi
cho mình hỏi do you have qr payment ạ  ???,faq,False,True,vi
anh thích cà phê đậm thì nên uống gì Trà Táo Bạc Hà ít ngọt,consultant,False,False,vi
"anh thích vị nhẹ, gợi ý gì Trà Chanh Mật Ong đá",consultant,False,False,vi
what's the most popular item Freeze Sữa Chua Dâu ít ngọt  ,consultant,False,True,vi
em gọi ba Bánh Chuối S nha,order,False,False,vi
cho em một Vanilla Latte S em,order,False,False,vi
gợi ý món dưới 45k Trà Việt Quất ít ngọt,consultant,False,False,vi
good afternoon???,ignore,True,False,en
cho em hai Vanilla Latte S em,order,False,False,en
cho em hai Mocha M em,order,False,False,en
cho mình hỏi có hỗ trợ sinh nhật không nào,faq,False,False,vi
what's your best seller today Freeze Dâu đá,consultant,False,False,vi
"anh không thích ngọt, tư vấn gì Flat White đá nhỉ",consultant,False,True,vi
gọi 2 ly Bánh Mì Pate size M,order,False,False,vi
cho em hỏi có khuyến mãi gì hôm nay không?,faq,False,False,vi
hú hú ạ,ignore,True,False,vi
a ơi em gọi một Freeze Sữa Chua Dâu S,order,False,False,vi
"anh không thích ngọt, tư vấn gì Double Espresso không caffeine",consultant,False,False,vi
hichic...,ignore,True,False,en
hỏi chút có nhận đặt qua điện thoại không nào,faq,False,False,vi
gọi ba ly Hazelnut Latte size L,order,False,False,vi
anh ơi một Trà Nhài L nha,order,False,False,vi
cho hỏi do you deliver vậy,faq,False,False,vi
có nhận đặt tiệc không không,faq,False,False,vi
lấy một Cold Brew S nhé,order,False,False,vi
cho 2 Caramel Macchiato ít đá đi,order,False,False,vi
what's your best seller today Freeze Sữa Chua Việt Quất đá,consultant,False,False,vi
suggest a drink for someone who hates coffee Trà Sữa Trân Châu đá,consultant,False,False,vi
cho hỏi do you have vegan options nào,faq,False,False,vi
cho hỏi wifi password là gì nhỉ,faq,False,False,vi
"anh không thích ngọt, tư vấn gì Trà Thanh Đào mát à",consultant,False,True,vi
what's your best seller today Trà Xoài Nhiệt Đới không caffeine,consultant,False,False,vi
get me một Cà Phê Sữa Nóng M,order,False,False,vi
what do you recommend Trà Việt Quất mát,consultant,False,False,vi
có đặt bàn trước không?,faq,False,False,vi
cho hỏi có giới hạn thời gian ngồi không ạ,faq,False,False,vi
recommend something refreshing please Trà Việt Quất đá,consultant,False,False,vi
nên uống gì vào buổi sáng Flat White đá,consultant,False,False,vi
mình order hai Freeze Sữa Chua Việt Quất size L,order,False,False,vi
em order hai Muffin Chocolate M nha,order,False,False,en
"anh thích đồ uống chua, có gì Brownie ít ngọt",consultant,False,False,vi
cho ba Iced Coffee nhiều đá đi,order,False,False,vi
cho một Trà Kiwi nhiều đá đi,order,False,False,vi
mình lấy một Freeze Matcha Đậu Đỏ S vậy,order,False,True,vi
order 1 Freeze Cà Phê S nha,order,False,False,vi
ship 1 Bánh Mặn Phô Mai S,order,False,False,vi
what would you recommend for hot weather Cà Phê Dừa mát,consultant,False,False,vi
cho em hỏi có nhận đặt tiệc không?,faq,False,False,vi
có món nào giống latte nhưng không cà phê Bánh Mì Que mát,consultant,False,False,vi
cho mình hỏi có ổ cắm điện không ạ,faq,False,False,vi
lấy một Cà Phê Dừa S nhé vậy,order,False,True,vi
vâng ạ,ignore,True,False,vi
gọi 1 ly Trà Táo Bạc Hà đá,order,False,False,vi
get me 3 Freeze Chocolate S,order,False,False,en
món nào không ngọt lắm Sandwich Gà ít ngọt,consultant,False,False,vi
có gì ngon không em Trà Sen Vàng đá,consultant,False,False,vi
tư vấn cho em món ngon giá rẻ Trà Atiso Đỏ không caffeine,consultant,False,False,vi
suggest something sweet but not too sweet Freeze Sữa Chua Việt Quất đá,consultant,False,False,vi
a ơi em gọi 2 Brownie L,order,False,False,vi
suggest something sweet but not too sweet Sandwich Cá Ngừ không caffeine,consultant,False,False,vi
mang ra 3 Espresso M nhé  ???,order,False,True,vi
có món gì cho người ăn kiêng không Tiramisu đá,consultant,False,False,vi
please give me 3 Matcha Latte M,order,False,False,en
anh ơi ba Bạc Xỉu M nha,order,False,False,vi
món nào bán chạy nhất Freeze Bạc Xỉu đá,consultant,False,False,vi
em gọi 3 Freeze Cà Phê M nha,order,False,False,vi
gọi 3 ly Phin Sữa Đá ít ngọt,order,False,False,vi
gọi cho em 1 Freeze Việt Quất L,order,False,False,vi
món nào bán chạy nhất Bánh Quy Bơ không caffeine,consultant,False,False,vi
I'd like to order 2 Mocha,order,False,False,en
cho ba cốc Freeze Việt Quất S,order,False,False,vi
mang ra một Freeze Việt Quất S nhé,order,False,False,vi
đặt 2 ly Trà Sen Vàng L nha,order,False,False,vi
recommend something refreshing please Freeze Cookies ít ngọt,consultant,False,True,vi
quán có 1 Hồng Trà Sữa L không,order,False,False,vi
món nào hợp với khẩu vị trẻ em Trà Kiwi đá nhỉ,consultant,False,True,vi
do you have vegetarian options nào,faq,False,False,vi
gọi 2 ly Bánh Su Kem lạnh,order,False,False,vi
suggest a light refreshing drink Croissant không caffeine,consultant,False,False,vi
em muốn thêm 1 Freeze Cookies L,order,False,False,vi
lấy cho 2 ly Matcha Latte S,order,False,False,vi
em gọi một Vanilla Latte L nha,order,False,False,vi
anh ơi 1 Trà Oolong Sữa M nha,order,False,False,vi
tạm biệt,ignore,True,False,vi
haha thú vị,ignore,True,False,vi
món nào không ngọt lắm Freeze Socola Bạc Hà không caffeine,consultant,False,False,vi
gọi 3 ly Freeze Chocolate ít đường,order,False,False,vi
cần hai Trà Chanh Mật Ong S nhé???,order,False,True,vi
suggest something sweet but not too sweet Trà Táo Bạc Hà đá,consultant,False,False,vi
món nào không ngọt lắm Trà Xoài Nhiệt Đới không caffeine nhỉ???,consultant,False,True,vi
cho mình hỏi what time do you open vậy ạ,faq,False,True,vi
ừ ạ,ignore,True,False,vi
gọi 3 ly Trà Atiso Đỏ size S,order,False,False,vi
cho hỏi có món nóng không không,faq,False,False,vi
em cần 1 Vanilla Latte L,order,False,False,vi
hỏi chút có hỗ trợ sinh nhật không?,faq,False,False,vi
nên uống gì vào buổi sáng Tiramisu không caffeine nhỉ nhỉ,consultant,False,True,vi
gợi ý đồ uống không đường Freeze Caramel không caffeine,consultant,False,False,vi
suggest a light refreshing drink Freeze Sữa Chua Việt Quất mát,consultant,False,False,vi
quán có 3 Freeze Sữa Chua Dâu L không,order,False,False,vi
order 3 Trà Nhài S nha,order,False,False,vi
cho em hỏi quán mở cửa thứ mấy không,faq,False,False,vi
tính cho tôi 3 Iced Coffee M,order,False,False,vi
cho ba Brownie ít đường đi,order,False,False,vi
gợi ý cho khách không ăn đường Freeze Dâu mát nhỉ nhỉ,consultant,False,True,vi
có món gì cho người ăn kiêng không Bạc Xỉu đá,consultant,False,False,vi
đặt bàn và lấy 2 Cà Phê Sữa Nóng M,order,False,False,vi
ship 1 Freeze Đào M,order,False,True,vi
recommend something under 50000 Trà Lài Mật Ong đá,consultant,False,False,vi
ship 2 Mocha S...,order,False,True,en
đồ uống nào hợp với bánh ngọt Mocha mát,consultant,False,True,vi
 thanh toán qr không nhỉ...,faq,False,True,vi
có đồ uống healthy không Cà Phê Muối không caffeine,consultant,False,False,vi
em muốn order 3 Phin Sữa Đá L,order,False,False,vi
tư vấn cho em món ngon giá rẻ Hồng Trà Sữa đá,consultant,False,False,vi
hỏi chút có hỗ trợ sinh nhật không vậy,faq,False,False,vi
what's good here Caramel Macchiato mát,consultant,False,False,vi
cần ba Cà Phê Dừa S nhé,order,False,False,vi
ship 3 Trà Sen Vàng M,order,False,False,vi
có bán ba Cà Phê Dừa L không,order,False,False,vi
tư vấn đồ uống cho người mới uống cà phê Freeze Xoài mát,consultant,False,False,vi
suggest a drink for someone who hates coffee Sandwich Gà mát,consultant,False,False,vi
cho em hỏi có thanh toán thẻ không ạ,faq,False,False,vi
món nào phù hợp cho buổi chiều Sandwich Cá Ngừ mát,consultant,False,False,vi
hú hú.,ignore,True,False,vi
cho hỏi mấy giờ đóng cửa nào,faq,False,False,vi
món nào không ngọt lắm Freeze Sữa Chua Việt Quất mát,consultant,False,False,vi
món nào bán chạy nhất Freeze Trà Xanh mát,consultant,False,False,vi
cho 3 Trà Nhài không đường đi,order,False,False,vi
có bán hai Cà Phê Muối M không,order,False,False,vi
what would you recommend for hot weather Trà Đào Cam Sả ít ngọt,consultant,False,False,vi
có gì uống mát không Cà Phê Muối đá,consultant,False,False,vi
is there parking available không,faq,False,False,vi
"I prefer tea-based drinks, what should I get Trà Dâu không caffeine",consultant,False,False,vi
đặt bàn và lấy 2 Trà Sen Vàng L,order,False,False,vi
can I have một Double Espresso L,order,False,False,vi
can I have 2 Trà Đào Ít Ngọt L,order,False,False,vi
đặt cho 1 Bánh Chuối L,order,False,False,vi
