id,name,category,size,price,caffeine,sweetness,tags,ingredients,description
33,Cà Phê Muối,Coffee,L,45000,medium,high,"coffee,caffeine,strong,popular","cà phê, nước, đá","Cà Phê Muối size L, phù hợp khách thích cà phê và hương vị đậm."
34,Cà Phê Dừa,Coffee,S,55000,high,low,"coffee,caffeine,strong,popular","cà phê, nước, đá","Cà Phê Dừa size S, phù hợp khách thích cà phê và hương vị đậm."
35,Cà Phê Dừa,Coffee,M,44000,medium,high,"coffee,caffeine,strong,popular","cà phê, nước, đá","Cà Phê Dừa size M, phù hợp khách thích cà phê và hương vị đậm."
36,Cà Phê Dừa,Coffee,L,49000,high,medium,"coffee,caffeine,strong,popular","cà phê, nước, đá","Cà Phê Dừa size L, phù hợp khách thích cà phê và hương vị đậm."
37,Vietnamese Latte,Coffee,S,49000,high,medium,"coffee,caffeine,strong,popular","cà phê, sữa, đá","Vietnamese Latte size S, phù hợp khách thích cà phê và hương vị đậm."
38,Vietnamese Latte,Coffee,M,50000,medium,medium,"coffee,caffeine,strong,popular","cà phê, sữa, đá","Vietnamese Latte size M, phù hợp khách thích cà phê và hương vị đậm."
39,Vietnamese Latte,Coffee,L,59000,medium,high,"coffee,caffeine,strong,popular","cà phê, sữa, đá","Vietnamese Latte size L, phù hợp khách thích cà phê và hương vị đậm."
40,Hazelnut Latte,Coffee,S,39000,high,medium,"coffee,caffeine,strong,popular","cà phê, sữa, đá","Hazelnut Latte size S, phù hợp khách thích cà phê và hương vị đậm."
41,Hazelnut Latte,Coffee,M,60000,medium,low,"coffee,caffeine,strong,popular","cà phê, sữa, đá","Hazelnut Latte size M, phù hợp khách thích cà phê và hương vị đậm."
42,Hazelnut Latte,Coffee,L,59000,medium,medium,"coffee,caffeine,strong,popular","cà phê, sữa, đá","Hazelnut Latte size L, phù hợp khách thích cà phê và hương vị đậm."
43,Vanilla Latte,Coffee,S,49000,medium,low,"coffee,caffeine,strong,popular","cà phê, sữa, đá","Vanilla Latte size S, phù hợp khách thích cà phê và hương vị đậm."
44,Vanilla Latte,Coffee,M,54000,high,medium,"coffee,caffeine,strong,popular","cà phê, sữa, đá","Vanilla Latte size M, phù hợp khách thích cà phê và hương vị đậm."
45,Vanilla Latte,Coffee,L,49000,medium,medium,"coffee,caffeine,strong,popular","cà phê, sữa, đá","Vanilla Latte size L, phù hợp khách thích cà phê và hương vị đậm."
46,Flat White,Coffee,S,55000,medium,low,"coffee,caffeine,strong,popular","cà phê, nước, đá","Flat White size S, phù hợp khách thích cà phê và hương vị đậm."
47,Flat White,Coffee,M,40000,medium,low,"coffee,caffeine,strong,popular","cà phê, nước, đá","Flat White size M, phù hợp khách thích cà phê và hương vị đậm."
48,Flat White,Coffee,L,65000,high,low,"coffee,caffeine,strong,popular","cà phê, nước, đá","Flat White size L, phù hợp khách thích cà phê và hương vị đậm."
49,Iced Coffee,Coffee,S,55000,medium,medium,"coffee,caffeine,strong,popular","cà phê, nước, đá","Iced Coffee size S, phù hợp khách thích cà phê và hương vị đậm."
50,Iced Coffee,Coffee,M,50000,medium,high,"coffee,caffeine,strong,popular","cà phê, nước, đá","Iced Coffee size M, phù hợp khách thích cà phê và hương vị đậm."
51,Iced Coffee,Coffee,L,55000,medium,high,"coffee,caffeine,strong,popular","cà phê, nước, đá","Iced Coffee size L, phù hợp khách thích cà phê và hương vị đậm."
52,Double Espresso,Coffee,S,55000,medium,medium,"coffee,caffeine,strong,popular","cà phê, nước, đá","Double Espresso size S, phù hợp khách thích cà phê và hương vị đậm."
53,Double Espresso,Coffee,M,50000,medium,high,"coffee,caffeine,strong,popular","cà phê, nước, đá","Double Espresso size M, phù hợp khách thích cà phê và hương vị đậm."
54,Double Espresso,Coffee,L,55000,medium,medium,"coffee,caffeine,strong,popular","cà phê, nước, đá","Double Espresso size L, phù hợp khách thích cà phê và hương vị đậm."
55,Cà Phê Sữa Nóng,Coffee,S,55000,high,high,"coffee,caffeine,strong,popular","cà phê, sữa, đá","Cà Phê Sữa Nóng size S, phù hợp khách thích cà phê và hương vị đậm."
56,Cà Phê Sữa Nóng,Coffee,M,40000,medium,medium,"coffee,caffeine,strong,popular","cà phê, sữa, đá","Cà Phê Sữa Nóng size M, phù hợp khách thích cà phê và hương vị đậm."
57,Cà Phê Sữa Nóng,Coffee,L,49000,high,high,"coffee,caffeine,strong,popular","cà phê, sữa, đá","Cà Phê Sữa Nóng size L, phù hợp khách thích cà phê và hương vị đậm."
58,Cà Phê Đen Nóng,Coffee,S,35000,high,medium,"coffee,caffeine,strong,popular","cà phê, nước, đá","Cà Phê Đen Nóng size S, phù hợp khách thích cà phê và hương vị đậm."
59,Cà Phê Đen Nóng,Coffee,M,50000,medium,low,"coffee,caffeine,strong,popular","cà phê, nước, đá","Cà Phê Đen Nóng size M, phù hợp khách thích cà phê và hương vị đậm."
60,Cà Phê Đen Nóng,Coffee,L,59000,high,high,"coffee,caffeine,strong,popular","cà phê, nước, đá","Cà Phê Đen Nóng size L, phù hợp khách thích cà phê và hương vị đậm."
61,Trà Sen Vàng,Tea,S,59000,low,high,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Trà Sen Vàng size S, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
62,Trà Sen Vàng,Tea,M,44000,low,medium,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Trà Sen Vàng size M, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
63,Trà Sen Vàng,Tea,L,55000,low,medium,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Trà Sen Vàng size L, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
64,Trà Đào Cam Sả,Tea,S,45000,medium,high,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Trà Đào Cam Sả size S, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
65,Trà Đào Cam Sả,Tea,M,54000,medium,low,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Trà Đào Cam Sả size M, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
66,Trà Đào Cam Sả,Tea,L,65000,medium,low,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Trà Đào Cam Sả size L, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
67,Trà Vải,Tea,S,49000,low,low,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Trà Vải size S, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
68,Trà Vải,Tea,M,60000,low,low,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Trà Vải size M, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
69,Trà Vải,Tea,L,69000,low,medium,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Trà Vải size L, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
70,Trà Xoài Nhiệt Đới,Tea,S,49000,medium,low,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Trà Xoài Nhiệt Đới size S, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
71,Trà Xoài Nhiệt Đới,Tea,M,64000,medium,low,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Trà Xoài Nhiệt Đới size M, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
72,Trà Xoài Nhiệt Đới,Tea,L,69000,medium,medium,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Trà Xoài Nhiệt Đới size L, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
73,Trà Chanh Mật Ong,Tea,S,55000,low,medium,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Trà Chanh Mật Ong size S, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
74,Trà Chanh Mật Ong,Tea,M,44000,low,medium,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Trà Chanh Mật Ong size M, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
75,Trà Chanh Mật Ong,Tea,L,59000,medium,high,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Trà Chanh Mật Ong size L, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
76,Trà Oolong Sữa,Tea,S,59000,medium,medium,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Trà Oolong Sữa size S, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
77,Trà Oolong Sữa,Tea,M,50000,medium,high,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Trà Oolong Sữa size M, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
78,Trà Oolong Sữa,Tea,L,55000,low,medium,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Trà Oolong Sữa size L, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
79,Trà Nhài,Tea,S,55000,medium,medium,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Trà Nhài size S, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
80,Trà Nhài,Tea,M,44000,medium,high,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Trà Nhài size M, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
81,Trà Nhài,Tea,L,59000,medium,low,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Trà Nhài size L, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
82,Trà Dâu,Tea,S,45000,low,low,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Trà Dâu size S, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
83,Trà Dâu,Tea,M,64000,low,medium,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Trà Dâu size M, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
84,Trà Dâu,Tea,L,55000,medium,medium,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Trà Dâu size L, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
85,Trà Cam Quế,Tea,S,59000,medium,low,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Trà Cam Quế size S, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
86,Trà Cam Quế,Tea,M,50000,low,low,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Trà Cam Quế size M, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
87,Trà Cam Quế,Tea,L,69000,medium,medium,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Trà Cam Quế size L, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
88,Trà Táo Bạc Hà,Tea,S,55000,medium,low,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Trà Táo Bạc Hà size S, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
89,Trà Táo Bạc Hà,Tea,M,50000,medium,high,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Trà Táo Bạc Hà size M, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
90,Trà Táo Bạc Hà,Tea,L,55000,low,high,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Trà Táo Bạc Hà size L, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
91,Matcha Latte,Tea,S,45000,medium,high,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Matcha Latte size S, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
92,Matcha Latte,Tea,M,50000,medium,high,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Matcha Latte size M, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
93,Matcha Latte,Tea,L,65000,medium,medium,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Matcha Latte size L, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
94,Hồng Trà Sữa,Tea,S,59000,low,medium,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Hồng Trà Sữa size S, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
95,Hồng Trà Sữa,Tea,M,54000,medium,medium,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Hồng Trà Sữa size M, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
96,Hồng Trà Sữa,Tea,L,69000,medium,high,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Hồng Trà Sữa size L, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
97,Trà Sữa Trân Châu,Tea,S,55000,low,medium,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Trà Sữa Trân Châu size S, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
98,Trà Sữa Trân Châu,Tea,M,50000,medium,high,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Trà Sữa Trân Châu size M, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
99,Trà Sữa Trân Châu,Tea,L,69000,low,medium,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Trà Sữa Trân Châu size L, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
100,Trà Lài Mật Ong,Tea,S,45000,medium,low,"tea,fruit,refreshing,low-caffeine","trà, trái cây, syrup, đá","Trà Lài Mật Ong size S, vị thanh mát, phù hợp khách thích đồ uống nhẹ."
101,Croissants,Food,S,25000,medium,low,"pastry,không caffeine","bánh, pastry","Croissants size S, bánh bơ sữa giòn, 25,000 VND."
102,Croissants,Food,M,35000,medium,low,"pastry,không caffeine","bánh, pastry","Croissants size M, bánh bơ sữa giòn, 35,000 VND."
103,Tiramisu,Food,S,35000,medium,low,"dessert,không caffeine","bánh, dessert","Tiramisu size S, bánh kem cà phê Ý, 35,000 VND."
104,Tiramisu,Food,M,45000,medium,low,"dessert,không caffeine","bánh, dessert","Tiramisu size M, bánh kem cà phê Ý, 45,000 VND."
105,Bánh Mì Que,Food,S,15000,medium,low,"snack,không caffeine","bánh, snack","Bánh Mì Que size S, bánh mì baguette nướng, 15,000 VND."
